task,data_split,model,n,mae,rmse,median_absolute_error,wape,r2,actual_surge_rate,predicted_surge_rate,surge_precision,surge_recall,surge_f1,surge_balanced_accuracy
price,calibration,global_median,108910,7.38991249655679,9.798908026021737,6.0,0.4457153597955267,-0.10962001988397474,,,,,,
price,calibration,persistence_lag1,108910,1.9252773849967866,3.6381814801629004,1.0,0.11612122643669506,0.8470365611511992,,,,,,
price,calibration,route_service_median,108910,1.285125378753099,2.660927289461985,0.5,0.07751108295804408,0.9181752030900885,,,,,,
multiplier,calibration,constant_one,52665,0.030563467198329062,0.13487747216590268,0.0,0.029657045074010183,-0.054127707464241226,0.07103389347764169,0.0,0.0,0.0,0.0,0.5
multiplier,calibration,global_median,52665,0.030563467198329062,0.13487747216590268,0.0,0.029657045074010183,-0.054127707464241226,0.07103389347764169,0.0,0.0,0.0,0.0,0.5
multiplier,calibration,persistence_lag1,52665,0.05678344251400361,0.18324732798777366,0.0,0.055099413399908335,-0.9457618961498075,0.07103389347764169,0.07110984524826736,0.10627503337783711,0.10638866613205025,0.10633181939620624,0.5189882174581435
multiplier,calibration,route_service_median,52665,0.030563467198329062,0.13487747216590268,0.0,0.029657045074010183,-0.054127707464241226,0.07103389347764169,0.0,0.0,0.0,0.0,0.5
price,test,global_median,107015,7.381589964023735,9.818257989582827,5.75,0.44628283111503325,-0.10604687511013688,,,,,,
price,test,persistence_lag1,107015,1.9559482315563237,3.714499384408925,1.0,0.11825448427069961,0.8416911350096417,,,,,,
price,test,route_service_median,107015,1.3014259683221978,2.729739737285056,0.5,0.07868278629132298,0.9145037359724404,,,,,,
multiplier,test,constant_one,51510,0.032406328868180935,0.13971137428026723,0.0,0.0313891226371188,-0.05686093351227606,0.07503397398563386,0.0,0.0,0.0,0.0,0.5
multiplier,test,global_median,51510,0.032406328868180935,0.13971137428026723,0.0,0.0313891226371188,-0.05686093351227606,0.07503397398563386,0.0,0.0,0.0,0.0,0.5
multiplier,test,persistence_lag1,51510,0.05960493108134343,0.1886326849902522,0.0,0.057733984589854126,-0.9265851498548052,0.07503397398563386,0.07499514657348087,0.11157131762878592,0.11151358344113842,0.11154244306418218,0.5197404206428066
multiplier,test,route_service_median,51510,0.032406328868180935,0.13971137428026723,0.0,0.0313891226371188,-0.05686093351227606,0.07503397398563386,0.0,0.0,0.0,0.0,0.5
