task,delay_minutes,data_split,model,n,mae,rmse,median_absolute_error,wape,r2,actual_surge_rate,predicted_surge_rate,surge_precision,surge_recall,surge_f1,surge_balanced_accuracy
price,5,calibration,global_median,108910,7.38991249655679,9.798908026021737,6.0,0.4457153597955267,-0.10962001988397474,,,,,,
price,5,calibration,persistence_asof,108910,1.9252773849967866,3.6381814801629004,1.0,0.11612122643669506,0.8470365611511992,,,,,,
price,5,calibration,route_service_median,108910,1.285125378753099,2.660927289461985,0.5,0.07751108295804408,0.9181752030900885,,,,,,
multiplier,5,calibration,constant_one,52665,0.030563467198329062,0.13487747216590268,0.0,0.029657045074010183,-0.054127707464241226,0.07103389347764169,0.0,0.0,0.0,0.0,0.5
multiplier,5,calibration,global_median,52665,0.030563467198329062,0.13487747216590268,0.0,0.029657045074010183,-0.054127707464241226,0.07103389347764169,0.0,0.0,0.0,0.0,0.5
multiplier,5,calibration,persistence_asof,52665,0.05678344251400361,0.18324732798777366,0.0,0.055099413399908335,-0.9457618961498075,0.07103389347764169,0.07110984524826736,0.10627503337783711,0.10638866613205025,0.10633181939620624,0.5189882174581435
multiplier,5,calibration,route_service_median,52665,0.030563467198329062,0.13487747216590268,0.0,0.029657045074010183,-0.054127707464241226,0.07103389347764169,0.0,0.0,0.0,0.0,0.5
price,5,test,global_median,107015,7.381589964023735,9.818257989582827,5.75,0.44628283111503325,-0.10604687511013688,,,,,,
price,5,test,persistence_asof,107015,1.9559482315563237,3.714499384408925,1.0,0.11825448427069961,0.8416911350096417,,,,,,
price,5,test,route_service_median,107015,1.3014259683221978,2.729739737285056,0.5,0.07868278629132298,0.9145037359724404,,,,,,
multiplier,5,test,constant_one,51510,0.032406328868180935,0.13971137428026723,0.0,0.0313891226371188,-0.05686093351227606,0.07503397398563386,0.0,0.0,0.0,0.0,0.5
multiplier,5,test,global_median,51510,0.032406328868180935,0.13971137428026723,0.0,0.0313891226371188,-0.05686093351227606,0.07503397398563386,0.0,0.0,0.0,0.0,0.5
multiplier,5,test,persistence_asof,51510,0.05960493108134343,0.1886326849902522,0.0,0.057733984589854126,-0.9265851498548052,0.07503397398563386,0.07499514657348087,0.11157131762878592,0.11151358344113842,0.11154244306418218,0.5197404206428066
multiplier,5,test,route_service_median,51510,0.032406328868180935,0.13971137428026723,0.0,0.0313891226371188,-0.05686093351227606,0.07503397398563386,0.0,0.0,0.0,0.0,0.5
price,15,calibration,global_median,108910,7.38991249655679,9.798908026021737,6.0,0.4457153597955267,-0.10962001988397474,,,,,,
price,15,calibration,persistence_asof,108910,1.9174787439169956,3.632407550633792,1.0,0.11565085901131421,0.8475216932346388,,,,,,
price,15,calibration,route_service_median,108910,1.285125378753099,2.660927289461985,0.5,0.07751108295804408,0.9181752030900885,,,,,,
multiplier,15,calibration,constant_one,52665,0.030563467198329062,0.13487747216590268,0.0,0.029657045074010183,-0.054127707464241226,0.07103389347764169,0.0,0.0,0.0,0.0,0.5
multiplier,15,calibration,global_median,52665,0.030563467198329062,0.13487747216590268,0.0,0.029657045074010183,-0.054127707464241226,0.07103389347764169,0.0,0.0,0.0,0.0,0.5
multiplier,15,calibration,persistence_asof,52665,0.05678581600683566,0.18285915435476452,0.0,0.055101716501956485,-0.9375271949759834,0.07103389347764169,0.07186936295452388,0.10726552179656539,0.10852713178294573,0.1078926388519798,0.5197304124289596
multiplier,15,calibration,route_service_median,52665,0.030563467198329062,0.13487747216590268,0.0,0.029657045074010183,-0.054127707464241226,0.07103389347764169,0.0,0.0,0.0,0.0,0.5
price,15,test,global_median,107015,7.381589964023735,9.818257989582827,5.75,0.44628283111503325,-0.10604687511013688,,,,,,
price,15,test,persistence_asof,107015,1.9500682147362518,3.6840414876792096,1.0,0.1178989849045393,0.844276671318287,,,,,,
price,15,test,route_service_median,107015,1.3014259683221978,2.729739737285056,0.5,0.07868278629132298,0.9145037359724404,,,,,,
multiplier,15,test,constant_one,51510,0.032406328868180935,0.13971137428026723,0.0,0.0313891226371188,-0.05686093351227606,0.07503397398563386,0.0,0.0,0.0,0.0,0.5
multiplier,15,test,global_median,51510,0.032406328868180935,0.13971137428026723,0.0,0.0313891226371188,-0.05686093351227606,0.07503397398563386,0.0,0.0,0.0,0.0,0.5
multiplier,15,test,persistence_asof,51510,0.05919481654047758,0.18790684198765525,0.0,0.05733674318460678,-0.9117869944949719,0.07503397398563386,0.0739856338575034,0.1157176594069798,0.11410090556274256,0.11490359562272016,0.5216847271018666
multiplier,15,test,route_service_median,51510,0.032406328868180935,0.13971137428026723,0.0,0.0313891226371188,-0.05686093351227606,0.07503397398563386,0.0,0.0,0.0,0.0,0.5
price,30,calibration,global_median,108910,7.38991249655679,9.798908026021737,6.0,0.4457153597955267,-0.10962001988397474,,,,,,
price,30,calibration,persistence_asof,108910,1.9129405931503074,3.6228275425662946,1.0,0.11537714487698268,0.8483249165112642,,,,,,
price,30,calibration,route_service_median,108910,1.2851621063263245,2.661121380696581,0.5,0.07751329814577768,0.9181632658566867,,,,,,
multiplier,30,calibration,constant_one,52665,0.030563467198329062,0.13487747216590268,0.0,0.029657045074010183,-0.054127707464241226,0.07103389347764169,0.0,0.0,0.0,0.0,0.5
multiplier,30,calibration,global_median,52665,0.030563467198329062,0.13487747216590268,0.0,0.029657045074010183,-0.054127707464241226,0.07103389347764169,0.0,0.0,0.0,0.0,0.5
multiplier,30,calibration,persistence_asof,52665,0.056004936865090664,0.18192301682340298,0.0,0.05434399592811558,-0.9177398441386733,0.07103389347764169,0.07093895376435963,0.12098501070663811,0.12082330927559476,0.12090410592483616,0.5268493948062218
multiplier,30,calibration,route_service_median,52665,0.030563467198329062,0.13487747216590268,0.0,0.029657045074010183,-0.054127707464241226,0.07103389347764169,0.0,0.0,0.0,0.0,0.5
price,30,test,global_median,107015,7.381589964023735,9.818257989582827,5.75,0.44628283111503325,-0.10604687511013688,,,,,,
price,30,test,persistence_asof,107015,1.9621819371116198,3.7219840861483364,1.0,0.11863136726977079,0.8410525087542884,,,,,,
price,30,test,route_service_median,107015,1.3014598420782133,2.7299417262062553,0.5,0.07868483426144986,0.9144910827976133,,,,,,
multiplier,30,test,constant_one,51510,0.032406328868180935,0.13971137428026723,0.0,0.0313891226371188,-0.05686093351227606,0.07503397398563386,0.0,0.0,0.0,0.0,0.5
multiplier,30,test,global_median,51510,0.032406328868180935,0.13971137428026723,0.0,0.0313891226371188,-0.05686093351227606,0.07503397398563386,0.0,0.0,0.0,0.0,0.5
multiplier,30,test,persistence_asof,51510,0.059786934575810524,0.18901582638692735,0.0,0.057910275154313004,-0.9344194673982464,0.07503397398563386,0.07441273539118617,0.10592225410905295,0.10504527813712808,0.10548194336191219,0.5165587393938867
multiplier,30,test,route_service_median,51510,0.032406328868180935,0.13971137428026723,0.0,0.0313891226371188,-0.05686093351227606,0.07503397398563386,0.0,0.0,0.0,0.0,0.5
