task,delay_minutes,data_split,rows,start_time_utc,end_time_utc,series,target_mean
price,5,train,356054,2018-11-26T04:40:00+00:00,2018-12-10T02:40:00+00:00,864,16.531947260808753
price,5,calibration,108910,2018-12-13T03:25:00+00:00,2018-12-15T23:55:00+00:00,864,16.57989192911578
price,5,test,107015,2018-12-16T00:00:00+00:00,2018-12-18T19:15:00+00:00,864,16.540161192356212
lyft_multiplier,5,train,172583,2018-11-26T04:40:00+00:00,2018-12-10T02:40:00+00:00,432,1.0309582925317093
lyft_multiplier,5,calibration,52665,2018-12-13T03:25:00+00:00,2018-12-15T23:55:00+00:00,432,1.030563467198329
lyft_multiplier,5,test,51510,2018-12-16T00:00:00+00:00,2018-12-18T19:15:00+00:00,432,1.0324063288681808
price,15,train,355921,2018-11-26T04:40:00+00:00,2018-12-10T02:40:00+00:00,864,16.531706333708886
price,15,calibration,108910,2018-12-13T03:25:00+00:00,2018-12-15T23:55:00+00:00,864,16.57989192911578
price,15,test,107015,2018-12-16T00:00:00+00:00,2018-12-18T19:15:00+00:00,864,16.540161192356212
lyft_multiplier,15,train,172511,2018-11-26T04:40:00+00:00,2018-12-10T02:40:00+00:00,432,1.0309538232344604
lyft_multiplier,15,calibration,52665,2018-12-13T03:25:00+00:00,2018-12-15T23:55:00+00:00,432,1.030563467198329
lyft_multiplier,15,test,51510,2018-12-16T00:00:00+00:00,2018-12-18T19:15:00+00:00,432,1.0324063288681808
price,30,train,355746,2018-11-26T04:40:00+00:00,2018-12-10T02:40:00+00:00,864,16.53209087382571
price,30,calibration,108910,2018-12-13T03:25:00+00:00,2018-12-15T23:55:00+00:00,864,16.57989192911578
price,30,test,107015,2018-12-16T00:00:00+00:00,2018-12-18T19:15:00+00:00,864,16.540161192356212
lyft_multiplier,30,train,172427,2018-11-26T04:40:00+00:00,2018-12-10T02:40:00+00:00,432,1.0309536789481926
lyft_multiplier,30,calibration,52665,2018-12-13T03:25:00+00:00,2018-12-15T23:55:00+00:00,432,1.030563467198329
lyft_multiplier,30,test,51510,2018-12-16T00:00:00+00:00,2018-12-18T19:15:00+00:00,432,1.0324063288681808
