task,data_split,minimum_delay_minutes,rows,lag1_rows_meeting_delay,lag1_rows_violating_delay,lag1_coverage_pct,implementation_note
price,train,5,356054,356054,0,100.0,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
price,train,15,356054,227392,128662,63.864469996124186,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
price,train,30,356054,123418,232636,34.66271969982081,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
price,train,60,356054,42553,313501,11.951277053480652,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
price,calibration,5,108910,108910,0,100.0,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
price,calibration,15,108910,78328,30582,71.9199338903682,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
price,calibration,30,108910,47677,61233,43.77651271692223,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
price,calibration,60,108910,18085,90825,16.605454044624,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
price,test,5,107015,107015,0,100.0,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
price,test,15,107015,76839,30176,71.80208382002523,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
price,test,30,107015,46626,60389,43.56959304770359,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
price,test,60,107015,17012,90003,15.896836892024483,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
lyft_multiplier,train,5,172583,172583,0,100.0,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
lyft_multiplier,train,15,172583,111692,60891,64.71784590602783,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
lyft_multiplier,train,30,172583,61802,110781,35.81001605024829,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
lyft_multiplier,train,60,172583,21925,150658,12.70403226273735,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
lyft_multiplier,calibration,5,52665,52665,0,100.0,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
lyft_multiplier,calibration,15,52665,38311,14354,72.74470711098454,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
lyft_multiplier,calibration,30,52665,23786,28879,45.16472040254438,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
lyft_multiplier,calibration,60,52665,9274,43391,17.609418019557584,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
lyft_multiplier,test,5,51510,51510,0,100.0,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
lyft_multiplier,test,15,51510,37569,13941,72.9353523587653,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
lyft_multiplier,test,30,51510,23152,28358,44.94661230828965,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
lyft_multiplier,test,60,51510,8823,42687,17.12871287128713,"coverage only; correct implementation requires an as-of lookup at t-delay, not row deletion"
