task,delay_minutes,data_split,rows,series,start_time,end_time,target_mean,target_median,median_observation_age_minutes
price,5,calibration,108910,864,2018-12-13 03:25:00+00:00,2018-12-15 23:55:00+00:00,16.579891929115785,13.5,25.0
price,5,test,107015,864,2018-12-16 00:00:00+00:00,2018-12-18 19:15:00+00:00,16.540161192356212,13.5,25.0
price,5,train,356054,864,2018-11-26 04:40:00+00:00,2018-12-10 02:40:00+00:00,16.531947260808753,13.5,20.0
lyft_multiplier,5,calibration,52665,432,2018-12-13 03:25:00+00:00,2018-12-15 23:55:00+00:00,1.030563467198329,1.0,25.0
lyft_multiplier,5,test,51510,432,2018-12-16 00:00:00+00:00,2018-12-18 19:15:00+00:00,1.0324063288681808,1.0,25.0
lyft_multiplier,5,train,172583,432,2018-11-26 04:40:00+00:00,2018-12-10 02:40:00+00:00,1.0309582925317093,1.0,20.0
price,15,calibration,108910,864,2018-12-13 03:25:00+00:00,2018-12-15 23:55:00+00:00,16.579891929115785,13.5,35.0
price,15,test,107015,864,2018-12-16 00:00:00+00:00,2018-12-18 19:15:00+00:00,16.540161192356212,13.5,35.0
price,15,train,355921,864,2018-11-26 04:40:00+00:00,2018-12-10 02:40:00+00:00,16.531706333708886,13.5,30.0
lyft_multiplier,15,calibration,52665,432,2018-12-13 03:25:00+00:00,2018-12-15 23:55:00+00:00,1.030563467198329,1.0,35.0
lyft_multiplier,15,test,51510,432,2018-12-16 00:00:00+00:00,2018-12-18 19:15:00+00:00,1.0324063288681808,1.0,35.0
lyft_multiplier,15,train,172511,432,2018-11-26 04:40:00+00:00,2018-12-10 02:40:00+00:00,1.0309538232344604,1.0,30.0
price,30,calibration,108910,864,2018-12-13 03:25:00+00:00,2018-12-15 23:55:00+00:00,16.579891929115785,13.5,50.0
price,30,test,107015,864,2018-12-16 00:00:00+00:00,2018-12-18 19:15:00+00:00,16.540161192356212,13.5,50.0
price,30,train,355746,864,2018-11-26 04:40:00+00:00,2018-12-10 02:40:00+00:00,16.53209087382571,13.5,45.0
lyft_multiplier,30,calibration,52665,432,2018-12-13 03:25:00+00:00,2018-12-15 23:55:00+00:00,1.030563467198329,1.0,50.0
lyft_multiplier,30,test,51510,432,2018-12-16 00:00:00+00:00,2018-12-18 19:15:00+00:00,1.0324063288681808,1.0,50.0
lyft_multiplier,30,train,172427,432,2018-11-26 04:40:00+00:00,2018-12-10 02:40:00+00:00,1.0309536789481926,1.0,45.0
